land_size_acres,crop_type,irrigation_type,soil_type,region,past_fertilizer_usage,recommended_nutrient_dose,max_allowed_qty
1.6,Paddy,Borewell,Clay,North,91.26,50,78.65
3.74,Paddy,Rainfed,Loam,West,216.76,50,183.56
1.36,Maize,Rainfed,Sandy,East,39.11,30,44.13
4.12,Maize,Rainfed,Loam,North,90.59,30,128.36
3.07,Maize,Borewell,Clay,West,106.26,30,85.15
2.9,Cotton,Borewell,Clay,West,132.21,40,113.91
2.67,Maize,Rainfed,Sandy,West,58.89,30,76.55
1.96,Cotton,Rainfed,Sandy,North,91.93,40,74.99
2.57,Cotton,Rainfed,Loam,South,106.47,40,95.85
2.69,Paddy,Rainfed,Clay,East,143.82,50,144.37
3.32,Cotton,Borewell,Sandy,South,137.39,40,122.87
4.76,Maize,Rainfed,Sandy,South,109.43,30,150.64
1.69,Maize,Borewell,Sandy,South,59.16,30,52.93
3.89,Paddy,Borewell,Clay,West,157.45,50,192.28
3.28,Maize,Borewell,Sandy,South,106.76,30,90.61
4.83,Maize,Borewell,Loam,East,165.93,30,138.24
4.2,Cotton,Rainfed,Sandy,West,161.14,40,166.72
1.91,Cotton,Rainfed,Sandy,West,75.67,40,79.91
2.35,Cotton,Borewell,Clay,East,95.37,40,97.75
3.7,Paddy,Rainfed,Sandy,South,134.31,50,198.31
2.56,Cotton,Rainfed,Sandy,East,85.12,40,97.11
2.67,Paddy,Borewell,Loam,North,152.65,50,130.25
3.87,Paddy,Borewell,Sandy,West,144.82,50,192.57
4.96,Cotton,Rainfed,Sandy,East,215.31,40,186.91
2.76,Cotton,Rainfed,Clay,South,90.18,40,108.4
4.01,Maize,Borewell,Sandy,South,130.6,30,113.76
4.65,Paddy,Rainfed,Clay,North,231.64,50,226.92
2.76,Maize,Borewell,Clay,South,83.01,30,83.79
2.69,Paddy,Borewell,Clay,East,128.11,50,125.8
4.16,Maize,Rainfed,Sandy,North,121.17,30,115.59
3.95,Cotton,Borewell,Clay,East,184.26,40,172.13
2.16,Paddy,Rainfed,Clay,East,82.92,50,108.4
1.01,Paddy,Rainfed,Clay,South,58.93,50,47.3
1.64,Maize,Rainfed,Sandy,North,44.44,30,48.05
4.08,Paddy,Borewell,Loam,North,189.34,50,190.57
1.7,Cotton,Borewell,Clay,South,64.91,40,63.21
3.25,Cotton,Borewell,Loam,East,127.77,40,135.58
4.72,Maize,Rainfed,Loam,West,163.71,30,154.23
1.6,Maize,Rainfed,Sandy,East,36.76,30,46.1
4.53,Maize,Borewell,Loam,West,161.18,30,145.67
1.0,Maize,Borewell,Loam,East,35.21,30,29.54
0.54,Paddy,Borewell,Loam,West,24.87,50,24.55
2.95,Cotton,Borewell,Clay,North,102.57,40,117.37
3.26,Cotton,Rainfed,Sandy,South,147.93,40,134.62
2.45,Maize,Rainfed,Sandy,West,81.56,30,79.46
1.04,Cotton,Rainfed,Sandy,South,40.18,40,39.81
0.71,Paddy,Rainfed,Clay,East,36.72,50,38.08
1.23,Paddy,Rainfed,Sandy,West,68.03,50,65.85
4.61,Paddy,Rainfed,Loam,North,191.92,50,249.12
1.94,Maize,Rainfed,Loam,North,56.81,30,52.97
0.7,Cotton,Rainfed,Loam,South,29.69,40,27.69
1.65,Cotton,Borewell,Sandy,North,52.48,40,68.24
0.5,Paddy,Rainfed,Clay,East,27.57,50,22.9
1.36,Cotton,Rainfed,Clay,West,48.59,40,54.24
2.1,Paddy,Rainfed,Sandy,South,90.34,50,114.74
3.39,Paddy,Borewell,Clay,North,120.64,50,167.13
4.44,Paddy,Rainfed,Sandy,North,188.86,50,204.0
3.91,Paddy,Rainfed,Loam,East,196.09,50,198.25
0.74,Paddy,Rainfed,Sandy,West,28.5,50,37.91
1.44,Cotton,Borewell,Sandy,South,54.84,40,58.12
1.78,Cotton,Rainfed,Clay,East,83.6,40,76.08
3.75,Paddy,Borewell,Sandy,East,138.56,50,172.73
2.72,Maize,Rainfed,Sandy,West,63.68,30,89.41
1.21,Paddy,Borewell,Loam,North,57.1,50,58.86
3.38,Maize,Borewell,Clay,North,77.52,30,99.99
1.74,Maize,Borewell,Sandy,North,59.71,30,47.4
4.61,Cotton,Rainfed,Clay,East,205.88,40,176.93
4.05,Maize,Borewell,Loam,North,86.95,30,132.84
2.87,Cotton,Borewell,Loam,West,97.77,40,111.64
0.8,Maize,Rainfed,Sandy,South,28.67,30,21.79
3.45,Cotton,Borewell,Clay,West,127.15,40,150.39
1.61,Paddy,Rainfed,Loam,South,77.77,50,80.22
3.66,Maize,Borewell,Loam,West,80.59,30,103.08
1.47,Paddy,Rainfed,Clay,North,78.58,50,68.93
3.08,Cotton,Rainfed,Loam,North,99.5,40,132.11
4.74,Maize,Rainfed,Sandy,South,136.4,30,138.0
1.55,Maize,Rainfed,Sandy,West,33.71,30,44.35
3.44,Paddy,Rainfed,Clay,South,166.29,50,187.28
2.28,Cotton,Borewell,Sandy,North,95.48,40,91.01
2.81,Paddy,Rainfed,Sandy,West,117.16,50,139.23
2.62,Maize,Borewell,Clay,West,82.79,30,85.53
1.98,Maize,Rainfed,Sandy,West,42.83,30,59.36
2.95,Maize,Rainfed,Loam,North,69.4,30,93.11
4.93,Cotton,Rainfed,Loam,South,231.29,40,185.25
4.44,Cotton,Rainfed,Clay,South,186.88,40,175.96
2.93,Maize,Borewell,Sandy,East,98.87,30,87.55
2.18,Maize,Borewell,Sandy,South,61.91,30,66.44
1.35,Maize,Rainfed,Loam,South,46.59,30,41.91
3.35,Paddy,Borewell,Sandy,South,125.58,50,170.99
1.04,Cotton,Borewell,Loam,North,30.76,40,41.83
2.31,Cotton,Borewell,Loam,West,91.88,40,84.81
2.44,Cotton,Borewell,Clay,North,76.85,40,107.11
3.03,Maize,Rainfed,Clay,North,94.87,30,87.73
0.93,Paddy,Rainfed,Sandy,West,55.24,50,44.51
2.41,Paddy,Rainfed,Clay,North,123.5,50,109.05
4.15,Paddy,Borewell,Loam,West,200.92,50,198.3
0.78,Maize,Borewell,Sandy,West,18.28,30,25.25
3.59,Cotton,Borewell,Loam,West,118.46,40,131.12
3.61,Maize,Rainfed,Loam,North,106.81,30,106.23
2.14,Paddy,Borewell,Clay,North,86.5,50,110.63
4.87,Maize,Borewell,Clay,West,115.11,30,148.94
2.41,Maize,Borewell,Sandy,South,66.76,30,68.74
4.21,Maize,Rainfed,Sandy,West,119.05,30,127.4
1.87,Maize,Borewell,Clay,East,44.37,30,51.45
3.71,Paddy,Borewell,Loam,North,148.05,50,192.55
2.26,Maize,Rainfed,Clay,North,61.55,30,67.38
2.15,Paddy,Borewell,Clay,South,80.66,50,103.41
3.49,Paddy,Rainfed,Loam,North,180.24,50,167.04
2.57,Paddy,Borewell,Sandy,South,102.38,50,121.06
0.6,Cotton,Borewell,Clay,East,27.56,40,22.61
1.52,Paddy,Borewell,Clay,East,63.82,50,70.34
3.38,Maize,Borewell,Loam,North,74.79,30,93.98
3.4,Paddy,Rainfed,Clay,East,147.87,50,177.07
3.01,Cotton,Rainfed,Clay,West,99.69,40,124.03
1.02,Cotton,Rainfed,Sandy,East,39.5,40,40.29
1.71,Cotton,Borewell,Sandy,North,68.54,40,73.48
5.0,Cotton,Borewell,Clay,North,200.78,40,196.19
1.51,Paddy,Borewell,Loam,South,62.56,50,75.19
2.15,Paddy,Borewell,Sandy,East,124.37,50,104.67
2.18,Maize,Borewell,Sandy,West,58.32,30,69.8
3.43,Paddy,Rainfed,Loam,West,172.71,50,165.81
4.18,Cotton,Borewell,Loam,West,120.25,40,179.6
2.81,Paddy,Rainfed,Sandy,West,126.33,50,140.42
3.5,Cotton,Borewell,Sandy,South,98.89,40,150.4
2.51,Paddy,Rainfed,Sandy,South,109.37,50,116.42
2.48,Cotton,Rainfed,Sandy,South,94.06,40,97.29
3.55,Maize,Borewell,Loam,West,96.96,30,116.33
3.2,Maize,Borewell,Sandy,South,105.96,30,88.5
2.29,Paddy,Rainfed,Clay,North,99.43,50,116.09
4.38,Cotton,Rainfed,Clay,East,129.5,40,160.22
4.33,Cotton,Borewell,Loam,East,139.67,40,179.05
2.94,Maize,Borewell,Clay,East,98.47,30,81.59
1.08,Paddy,Borewell,Loam,South,52.83,50,58.82
2.37,Maize,Borewell,Clay,South,61.39,30,72.62
4.69,Cotton,Rainfed,Sandy,West,209.82,40,206.19
0.6,Paddy,Rainfed,Sandy,East,22.69,50,30.66
4.19,Cotton,Rainfed,Sandy,North,141.22,40,158.86
4.04,Paddy,Borewell,Loam,West,147.09,50,196.72
2.78,Paddy,Rainfed,Sandy,West,136.24,50,145.36
2.1,Maize,Borewell,Loam,North,63.4,30,64.08
2.96,Cotton,Borewell,Sandy,South,120.8,40,112.7
0.88,Paddy,Rainfed,Sandy,East,33.42,50,41.58
2.75,Paddy,Rainfed,Sandy,South,154.03,50,143.04
4.05,Cotton,Rainfed,Sandy,West,141.83,40,158.91
2.27,Paddy,Rainfed,Loam,West,90.34,50,103.54
3.16,Cotton,Rainfed,Loam,West,151.0,40,117.98
0.71,Cotton,Borewell,Loam,North,30.95,40,26.99
4.23,Maize,Rainfed,Loam,North,133.49,30,138.21
2.34,Cotton,Borewell,Clay,South,96.5,40,92.94
3.34,Paddy,Borewell,Sandy,North,154.44,50,156.6
2.79,Paddy,Rainfed,Sandy,West,134.52,50,148.17
3.81,Paddy,Rainfed,Sandy,South,196.58,50,175.77
3.74,Maize,Rainfed,Sandy,North,106.61,30,121.04
4.64,Maize,Borewell,Sandy,South,101.28,30,148.13
0.67,Cotton,Borewell,Sandy,West,23.68,40,27.03
1.17,Cotton,Rainfed,Clay,North,50.22,40,42.2
1.26,Cotton,Rainfed,Clay,South,49.92,40,52.56
4.62,Paddy,Borewell,Loam,South,243.18,50,238.94
2.27,Cotton,Rainfed,Clay,West,63.62,40,83.9
2.91,Maize,Rainfed,Clay,East,90.58,30,85.86
3.79,Paddy,Rainfed,Sandy,South,182.1,50,173.36
1.36,Cotton,Borewell,Loam,East,60.93,40,56.85
4.53,Maize,Rainfed,Loam,South,103.12,30,149.22
1.44,Paddy,Rainfed,Clay,East,50.82,50,79.16
1.76,Cotton,Borewell,Loam,West,72.79,40,65.85
3.11,Paddy,Rainfed,Clay,West,179.14,50,149.91
3.52,Maize,Rainfed,Loam,North,83.84,30,108.24
2.01,Paddy,Rainfed,Sandy,South,80.96,50,96.74
1.3,Maize,Rainfed,Clay,North,44.89,30,38.2
1.6,Maize,Rainfed,Clay,North,44.36,30,46.28
3.85,Cotton,Borewell,Loam,North,182.58,40,152.09
4.37,Maize,Borewell,Clay,East,128.86,30,122.11
3.61,Paddy,Rainfed,Loam,East,172.69,50,185.94
4.5,Maize,Rainfed,Loam,South,124.23,30,145.83
3.88,Cotton,Rainfed,Clay,West,146.56,40,158.4
1.97,Cotton,Rainfed,Clay,South,93.91,40,81.44
0.7,Maize,Rainfed,Clay,East,18.13,30,21.52
0.75,Cotton,Borewell,Clay,South,21.36,40,29.7
2.0,Maize,Borewell,Clay,West,55.15,30,57.15
1.24,Maize,Rainfed,Clay,South,38.86,30,37.31
1.4,Cotton,Borewell,Loam,East,48.15,40,57.03
0.83,Paddy,Rainfed,Loam,West,32.11,50,37.96
4.16,Cotton,Borewell,Loam,West,179.08,40,174.83
3.72,Cotton,Rainfed,Clay,North,153.96,40,148.12
3.39,Paddy,Borewell,Clay,South,121.9,50,173.62
4.0,Maize,Borewell,Sandy,South,114.02,30,116.58
1.75,Paddy,Rainfed,Loam,North,89.37,50,90.87
4.42,Maize,Rainfed,Loam,East,115.52,30,139.75
3.03,Maize,Borewell,Loam,South,103.75,30,91.41
2.83,Cotton,Borewell,Sandy,South,111.95,40,118.84
4.84,Paddy,Rainfed,Clay,East,178.3,50,220.39
4.72,Cotton,Borewell,Sandy,West,182.18,40,193.14
2.67,Paddy,Rainfed,Sandy,North,99.7,50,140.66
3.86,Cotton,Borewell,Clay,South,132.14,40,148.42
4.27,Paddy,Borewell,Clay,West,157.17,50,229.77
1.65,Paddy,Rainfed,Clay,South,82.21,50,89.69
3.55,Maize,Borewell,Sandy,South,96.62,30,110.54
2.05,Paddy,Borewell,Loam,West,85.96,50,112.68
3.88,Cotton,Rainfed,Sandy,South,158.67,40,150.71
0.72,Paddy,Rainfed,Loam,West,25.76,50,36.39
3.93,Paddy,Rainfed,Sandy,North,190.35,50,209.89
0.65,Maize,Borewell,Loam,East,17.23,30,18.47
2.51,Maize,Rainfed,Sandy,West,55.43,30,82.14
1.5,Paddy,Rainfed,Clay,South,87.09,50,73.89
4.93,Paddy,Borewell,Clay,East,240.84,50,267.74
0.52,Paddy,Rainfed,Loam,East,27.93,50,28.1
1.13,Cotton,Borewell,Loam,South,33.81,40,44.52
4.7,Maize,Rainfed,Loam,East,136.94,30,141.77
1.14,Maize,Borewell,Clay,North,23.95,30,36.32
0.89,Cotton,Borewell,Loam,East,36.2,40,38.55
1.44,Cotton,Rainfed,Sandy,East,59.48,40,52.75
3.22,Paddy,Rainfed,Clay,West,125.9,50,168.6
1.86,Paddy,Borewell,Clay,North,86.65,50,94.85
1.27,Paddy,Borewell,Clay,West,68.0,50,60.99
3.48,Paddy,Borewell,Sandy,East,135.57,50,180.55
1.08,Maize,Rainfed,Clay,South,29.57,30,30.76
3.87,Paddy,Borewell,Clay,West,160.8,50,208.27
4.51,Cotton,Rainfed,Sandy,East,144.0,40,184.51
0.89,Maize,Rainfed,Sandy,North,23.92,30,27.84
3.47,Maize,Borewell,Loam,West,105.39,30,99.57
2.2,Cotton,Borewell,Clay,East,66.13,40,91.85
2.77,Cotton,Borewell,Loam,North,116.83,40,105.24
1.96,Cotton,Borewell,Sandy,South,67.98,40,70.96
2.03,Cotton,Rainfed,Loam,North,89.45,40,87.65
2.83,Paddy,Rainfed,Sandy,West,131.28,50,128.22
4.46,Cotton,Rainfed,Loam,East,126.04,40,194.27
2.7,Paddy,Borewell,Clay,South,117.58,50,146.45
0.61,Cotton,Borewell,Sandy,North,24.17,40,24.64
1.49,Cotton,Rainfed,Sandy,East,54.5,40,61.41
3.77,Maize,Borewell,Loam,East,79.21,30,122.98
1.24,Cotton,Borewell,Clay,South,40.51,40,47.25
0.67,Paddy,Borewell,Loam,North,25.51,50,36.76
1.92,Cotton,Borewell,Loam,South,58.19,40,70.76
3.74,Maize,Borewell,Sandy,South,126.48,30,106.75
0.59,Paddy,Borewell,Clay,East,23.94,50,26.88
0.97,Cotton,Rainfed,Loam,North,35.53,40,36.7
2.82,Cotton,Rainfed,Sandy,South,93.26,40,122.74
4.58,Maize,Rainfed,Loam,North,135.12,30,133.4
2.22,Cotton,Borewell,Loam,South,80.45,40,92.84
2.53,Cotton,Rainfed,Clay,East,114.19,40,110.19
2.01,Paddy,Borewell,Sandy,West,98.52,50,92.36
1.4,Cotton,Rainfed,Sandy,South,50.78,40,52.71
4.44,Maize,Borewell,Loam,East,103.78,30,132.02
3.23,Paddy,Rainfed,Clay,West,168.92,50,157.72
4.41,Paddy,Rainfed,Loam,South,217.01,50,217.83
0.8,Maize,Borewell,Loam,South,22.38,30,25.54
3.27,Maize,Borewell,Clay,South,109.49,30,97.98
1.03,Cotton,Rainfed,Sandy,South,29.12,40,39.58
3.64,Cotton,Rainfed,Clay,East,159.45,40,139.65
2.73,Paddy,Borewell,Loam,South,124.29,50,134.06
1.54,Paddy,Borewell,Clay,West,59.15,50,72.33
0.75,Paddy,Rainfed,Sandy,West,29.96,50,33.82
3.32,Paddy,Borewell,Sandy,North,142.46,50,181.71
1.37,Cotton,Borewell,Loam,West,47.84,40,53.24
0.54,Paddy,Borewell,Clay,North,30.23,50,24.47
4.73,Paddy,Borewell,Clay,East,271.04,50,238.18
2.95,Paddy,Borewell,Clay,North,151.47,50,144.17
3.41,Cotton,Rainfed,Sandy,North,98.53,40,124.23
2.56,Paddy,Borewell,Loam,West,124.78,50,137.93
0.97,Paddy,Rainfed,Loam,West,53.9,50,45.69
2.27,Paddy,Borewell,Clay,East,97.42,50,111.23
1.18,Cotton,Borewell,Clay,North,44.92,40,50.05
2.49,Paddy,Rainfed,Clay,West,117.69,50,133.18
3.68,Paddy,Borewell,Clay,North,173.92,50,175.08
4.48,Paddy,Rainfed,Loam,South,221.43,50,211.51
1.71,Maize,Rainfed,Clay,West,56.51,30,46.62
4.96,Cotton,Borewell,Loam,South,151.81,40,210.15
2.28,Paddy,Borewell,Clay,East,107.86,50,122.68
2.36,Maize,Borewell,Sandy,East,68.59,30,64.42
0.51,Paddy,Rainfed,Clay,North,20.97,50,26.42
1.05,Cotton,Borewell,Clay,West,31.79,40,41.25
3.42,Cotton,Rainfed,Sandy,South,144.47,40,128.0
0.86,Cotton,Rainfed,Clay,East,40.25,40,32.75
4.34,Cotton,Rainfed,Loam,North,196.47,40,183.06
1.26,Maize,Rainfed,Sandy,East,41.99,30,39.84
3.19,Maize,Borewell,Clay,South,83.13,30,91.15
1.05,Cotton,Borewell,Loam,South,40.1,40,42.72
2.12,Maize,Rainfed,Sandy,West,59.64,30,61.86
3.38,Paddy,Borewell,Sandy,West,194.46,50,157.64
2.22,Cotton,Rainfed,Clay,North,68.41,40,91.02
3.78,Maize,Borewell,Clay,West,132.22,30,108.38
4.78,Maize,Rainfed,Loam,West,104.92,30,146.35
0.76,Maize,Rainfed,Sandy,East,26.15,30,22.94
3.51,Paddy,Borewell,Loam,West,195.82,50,163.23
0.67,Cotton,Rainfed,Sandy,West,30.54,40,25.81
1.08,Cotton,Borewell,Loam,North,40.36,40,44.05
0.64,Cotton,Rainfed,Sandy,South,21.44,40,23.21
2.39,Cotton,Borewell,Clay,East,109.71,40,104.83
3.37,Paddy,Borewell,Clay,East,131.57,50,182.18
2.82,Cotton,Rainfed,Clay,North,87.63,40,122.31
3.91,Paddy,Rainfed,Loam,South,208.37,50,203.68
1.4,Maize,Rainfed,Clay,West,33.83,30,43.58
1.49,Paddy,Borewell,Clay,North,68.49,50,78.7
4.03,Cotton,Borewell,Clay,South,149.37,40,170.62
4.27,Maize,Borewell,Sandy,West,131.61,30,121.14
1.73,Maize,Borewell,Sandy,North,44.5,30,47.92
1.73,Cotton,Borewell,Loam,South,55.69,40,68.58
4.59,Paddy,Borewell,Loam,South,172.64,50,239.61
3.59,Paddy,Borewell,Clay,North,134.24,50,194.67
3.06,Cotton,Rainfed,Clay,South,107.94,40,128.68
1.66,Maize,Borewell,Sandy,East,52.13,30,45.22
4.28,Maize,Rainfed,Sandy,East,118.65,30,131.91
1.5,Maize,Borewell,Loam,North,46.73,30,47.45
2.63,Paddy,Borewell,Sandy,North,132.67,50,130.35
4.52,Cotton,Borewell,Sandy,South,171.57,40,193.16
4.11,Paddy,Rainfed,Loam,West,186.03,50,194.41
2.33,Cotton,Rainfed,Sandy,East,103.74,40,88.12
2.86,Cotton,Borewell,Loam,South,126.19,40,111.05
3.39,Maize,Borewell,Sandy,West,83.68,30,93.75
4.07,Paddy,Borewell,Loam,North,152.52,50,194.2
4.35,Paddy,Rainfed,Clay,North,189.93,50,238.08
4.91,Cotton,Rainfed,Loam,East,163.82,40,178.37
3.67,Cotton,Rainfed,Loam,South,135.86,40,135.08
3.68,Paddy,Rainfed,Sandy,West,131.67,50,197.62
1.12,Paddy,Rainfed,Clay,North,42.76,50,52.37
4.82,Paddy,Rainfed,Sandy,East,252.23,50,255.53
2.29,Paddy,Borewell,Loam,South,99.4,50,108.42
2.66,Cotton,Borewell,Clay,South,103.84,40,109.2
1.66,Cotton,Borewell,Loam,South,77.98,40,62.01
4.85,Cotton,Borewell,Sandy,North,137.24,40,193.27
2.0,Paddy,Rainfed,Clay,North,92.46,50,101.41
2.46,Cotton,Rainfed,Clay,North,89.29,40,102.98
3.59,Maize,Borewell,Loam,North,120.26,30,102.31
3.24,Maize,Rainfed,Loam,South,96.48,30,94.67
2.69,Maize,Rainfed,Sandy,East,69.15,30,74.92
1.46,Paddy,Borewell,Loam,West,54.95,50,75.67
3.47,Cotton,Borewell,Sandy,South,163.13,40,145.18
0.73,Paddy,Rainfed,Loam,North,41.69,50,39.15
2.49,Maize,Borewell,Clay,West,74.17,30,81.81
2.9,Paddy,Borewell,Sandy,South,167.14,50,132.91
1.36,Paddy,Borewell,Sandy,South,62.59,50,69.15
4.17,Cotton,Rainfed,Loam,South,199.18,40,163.09
0.71,Maize,Rainfed,Loam,West,23.44,30,21.74
1.39,Paddy,Rainfed,Clay,South,65.85,50,72.87
3.97,Cotton,Borewell,Clay,West,150.83,40,152.61
4.88,Paddy,Borewell,Clay,East,251.73,50,239.52
1.76,Cotton,Borewell,Loam,North,75.01,40,66.77
1.27,Maize,Rainfed,Clay,East,36.76,30,36.5
3.33,Paddy,Borewell,Loam,East,126.37,50,171.66
1.77,Maize,Borewell,Clay,South,37.18,30,49.14
4.7,Cotton,Rainfed,Loam,West,213.13,40,177.98
4.0,Maize,Rainfed,Sandy,South,120.51,30,131.3
2.18,Paddy,Rainfed,Clay,East,113.44,50,99.49
2.28,Maize,Rainfed,Loam,South,80.84,30,68.93
1.8,Maize,Rainfed,Sandy,East,41.05,30,56.2
3.4,Maize,Borewell,Sandy,West,90.47,30,111.2
0.6,Cotton,Rainfed,Loam,North,20.44,40,26.02
1.94,Cotton,Borewell,Sandy,South,64.11,40,78.13
4.21,Cotton,Borewell,Clay,North,126.56,40,183.32
4.08,Maize,Rainfed,Clay,West,96.77,30,127.59
2.23,Paddy,Borewell,Loam,West,100.48,50,117.82
4.83,Cotton,Borewell,Loam,West,147.47,40,190.13
2.66,Maize,Rainfed,Clay,North,70.87,30,77.62
0.74,Paddy,Borewell,Loam,West,38.58,50,36.53
1.38,Paddy,Rainfed,Loam,North,76.45,50,73.18
2.69,Maize,Rainfed,Sandy,West,68.53,30,82.93
1.8,Paddy,Rainfed,Clay,East,73.62,50,94.15
0.68,Maize,Borewell,Sandy,South,15.25,30,18.39
1.19,Maize,Borewell,Sandy,South,26.22,30,39.24
1.8,Maize,Borewell,Sandy,West,41.83,30,51.2
4.71,Paddy,Rainfed,Loam,West,226.1,50,229.13
4.43,Paddy,Borewell,Clay,North,198.8,50,214.19
1.43,Cotton,Rainfed,Loam,East,50.84,40,55.1
3.55,Cotton,Borewell,Clay,South,119.96,40,144.19
0.8,Paddy,Rainfed,Loam,North,31.83,50,39.26
4.72,Maize,Rainfed,Loam,South,125.83,30,146.25
1.65,Cotton,Rainfed,Clay,North,50.39,40,60.17
1.87,Paddy,Rainfed,Loam,East,72.82,50,87.4
3.92,Paddy,Borewell,Loam,West,138.75,50,198.27
2.21,Maize,Rainfed,Sandy,South,63.2,30,67.13
1.91,Cotton,Rainfed,Loam,West,64.75,40,79.97
4.42,Paddy,Borewell,Clay,South,175.98,50,203.21
4.54,Maize,Rainfed,Clay,South,119.17,30,137.6
2.12,Maize,Borewell,Loam,East,48.52,30,64.74
2.86,Paddy,Rainfed,Loam,North,114.61,50,141.62
4.09,Maize,Borewell,Sandy,West,122.11,30,112.81
2.97,Cotton,Borewell,Clay,South,124.9,40,125.75
3.33,Cotton,Borewell,Loam,South,103.41,40,138.8
3.55,Cotton,Rainfed,Clay,East,101.13,40,139.49
2.0,Paddy,Borewell,Sandy,North,103.47,50,94.32
3.16,Maize,Rainfed,Clay,East,109.65,30,100.45
4.65,Maize,Borewell,Sandy,West,165.9,30,125.85
3.3,Cotton,Rainfed,Loam,West,119.65,40,141.5
1.63,Maize,Rainfed,Sandy,West,58.22,30,50.01
4.07,Cotton,Rainfed,Clay,South,120.93,40,152.49
3.91,Maize,Rainfed,Loam,South,83.4,30,124.73
0.56,Cotton,Borewell,Sandy,West,23.04,40,21.8
3.25,Maize,Rainfed,Sandy,West,102.18,30,94.43
0.99,Cotton,Rainfed,Sandy,North,29.1,40,40.3
2.84,Paddy,Borewell,Clay,North,152.1,50,142.28
2.4,Cotton,Rainfed,Clay,West,86.31,40,86.91
2.01,Cotton,Borewell,Sandy,West,95.52,40,86.41
1.98,Cotton,Borewell,Sandy,East,78.72,40,84.7
2.49,Maize,Borewell,Clay,West,52.96,30,68.34
2.8,Cotton,Rainfed,Clay,South,132.69,40,116.33
0.82,Maize,Borewell,Loam,West,19.55,30,25.93
4.29,Maize,Rainfed,Clay,East,129.84,30,132.42
0.63,Paddy,Rainfed,Loam,East,35.1,50,33.32
1.67,Maize,Rainfed,Sandy,South,52.82,30,47.24
0.68,Paddy,Rainfed,Clay,North,27.22,50,31.81
2.02,Paddy,Borewell,Loam,East,91.83,50,101.17
2.65,Maize,Borewell,Sandy,West,66.41,30,72.01
3.22,Paddy,Rainfed,Clay,West,144.56,50,154.52
4.4,Paddy,Rainfed,Clay,West,236.14,50,235.74
2.73,Cotton,Borewell,Loam,East,83.59,40,113.49
1.43,Cotton,Borewell,Loam,South,52.66,40,52.22
4.21,Paddy,Borewell,Sandy,North,160.61,50,227.47
4.39,Cotton,Rainfed,Sandy,East,163.71,40,184.18
3.29,Cotton,Borewell,Loam,South,144.96,40,129.81
4.04,Paddy,Borewell,Clay,West,188.11,50,219.82
2.69,Paddy,Borewell,Clay,North,125.26,50,142.17
4.2,Cotton,Rainfed,Clay,South,164.18,40,157.24
2.6,Maize,Rainfed,Clay,South,92.35,30,81.95
4.15,Cotton,Borewell,Loam,South,118.92,40,164.93
3.41,Cotton,Borewell,Sandy,West,152.09,40,124.1
4.34,Maize,Borewell,Loam,North,126.84,30,122.32
1.93,Paddy,Borewell,Sandy,North,81.15,50,97.1
0.73,Paddy,Rainfed,Sandy,North,28.44,50,38.78
1.1,Paddy,Borewell,Loam,East,44.92,50,54.49
2.83,Paddy,Borewell,Clay,West,153.08,50,140.01
4.05,Maize,Borewell,Loam,North,122.61,30,112.1
1.2,Maize,Borewell,Loam,North,33.07,30,35.26
3.85,Maize,Borewell,Clay,West,114.39,30,112.92
1.27,Maize,Rainfed,Sandy,West,30.99,30,38.68
2.41,Paddy,Borewell,Loam,North,115.37,50,112.56
3.48,Paddy,Borewell,Clay,East,195.97,50,165.58
2.71,Maize,Rainfed,Sandy,North,96.57,30,78.59
3.18,Paddy,Rainfed,Clay,South,118.47,50,162.37
0.9,Cotton,Borewell,Sandy,North,42.47,40,37.55
4.05,Cotton,Borewell,Clay,East,170.43,40,164.91
2.52,Paddy,Borewell,Clay,East,142.28,50,137.51
2.75,Paddy,Borewell,Clay,South,160.29,50,139.79
2.92,Maize,Rainfed,Loam,South,81.23,30,82.51
0.52,Paddy,Rainfed,Sandy,East,21.34,50,26.05
2.21,Maize,Rainfed,Loam,West,61.28,30,72.67
2.08,Paddy,Rainfed,Clay,South,96.31,50,96.38
0.72,Cotton,Rainfed,Loam,North,31.33,40,29.21
3.92,Cotton,Rainfed,Clay,South,121.51,40,159.05
1.64,Cotton,Rainfed,Loam,West,53.4,40,59.19
1.09,Maize,Rainfed,Loam,North,27.95,30,30.19
4.94,Cotton,Rainfed,Loam,South,168.81,40,182.99
1.4,Cotton,Rainfed,Loam,North,55.66,40,51.12
4.38,Maize,Borewell,Clay,East,155.15,30,124.74
2.53,Cotton,Rainfed,Loam,East,71.96,40,104.05
2.36,Maize,Borewell,Clay,South,59.12,30,66.65
3.44,Maize,Rainfed,Clay,East,93.72,30,96.59
3.6,Paddy,Borewell,Clay,East,176.86,50,192.91
1.03,Maize,Borewell,Loam,North,33.77,30,31.97
1.02,Paddy,Rainfed,Sandy,North,53.42,50,50.4
4.75,Cotton,Rainfed,Clay,West,146.45,40,195.43
2.22,Cotton,Rainfed,Clay,North,104.64,40,85.78
4.83,Maize,Rainfed,Sandy,South,166.74,30,138.25
4.12,Cotton,Borewell,Clay,East,197.4,40,156.65
2.47,Cotton,Borewell,Sandy,West,94.86,40,94.75
0.57,Cotton,Rainfed,Loam,East,18.47,40,21.81
2.5,Paddy,Borewell,Clay,West,98.19,50,134.33
